#,項目號碼,項目說明,製造商,上次採購價格,供應商最新報價
913,06-0044030M0,*SW REG. DC/DC SC403B((3~28V/1MHz/6A) MLPQ-32 PB_FREE,SEMTECH,USD 1.2400,USD 1.2400
914,06-0044040D0,SW REG. DC/DC TPS40400RHLR(3~20V/200kHz~2MHz/2mA) QFN-24 PB_FREE,TI,USD 1.9610,USD 1.9610
915,06-004452400,*SW REG. DC/DC SC4524SETRT SOIC8 PB_FREE,SEMTECH,USD 0.2720,USD 0.2720
916,06-004452401,*SW REG. DC/DC SC4524CSETRT(3~28V/200kHz~2MHz/2A) SOIC8 PB_FREE,SEMTECH,USD 0.2720,USD 0.2700
917,06-004452402,SW REG. DC/DC SC4524ESETRT(3~28V/200kHz~2MHz/2A) SOIC8 PB_FREE,SEMTECH,USD 0.2600,USD 0.2600
918,06-004452500,*SW REG DC/DC SC4525A 3A SOIC8 PB_FREE,SEMTECH,USD 0.3400,USD 0.3400
919,06-004452501,SW REG. DC/DC SC4525E(3~28V/200kHz~2MHz/3A) SOIC-8 PB_FREE,SEMTECH,USD 0.3100,USD 0.3100
920,06-0044552F0,SW CRL DC/DC NCP45520IMNTWG-H DFN8 PB_FREE,ON-SEMI,USD 0.5400,USD 0.5400
921,06-0045074W0,SW CRL DC/DC RT5074A WQFN-52L 6x6 PB_FREE,RICHTEK,,
922,06-0045077W0,SW CRL DC/DC RT5077A WQFN-52 PB_FREE,RICHTEK,USD 1.1880,USD 1.1880
923,06-004512010,LDO -0.3-6V VOSR_3-4.5A / VOSN_3.5-5.5 TI TPS51200DRCR SON-10,TI,USD 0.2750,USD 0.1780
924,06-0045128D0,SW CRL DC/DC TPS51285BRUKR QFN-20 PB_FREE,TI,USD 0.1400,USD 0.1400
925,06-0045162V0,SW CRL DC/DC TPS51623 VQFN-32 PB_FREE,TI,,
926,06-0045191D0,SW CRL DC/DC TPS51916 QFN-20 PB_FREE,TI,,
927,06-0045230D0,SW REG DC/DC NCP5230-DNCP5230MNTWG (1.5~19V/100~1000kHz/5mA) QFN16 PB_FREE,ON-SEMI,USD 0.2500,USD 0.2500
928,06-004523480,SW CRL DC/DC FAN5234MTCX TSSOP16 PB_FREE,FAIRCHILD,USD 0.6500,USD 0.6500
929,06-0045236Q0,SW CRL FAN5236_NL QSOP28 PB_FREE,FAIRCHILD,NTD 27.5000,NTD 27.5000
930,06-0045304D0,SW REG DC/DC G5304Q61U(0.75~5.5V/1MHz/6A) QFN5X5-28 PB_FREE,GMT,,
931,06-0045329D0,SW REG. DC/DC G5329A(4.5~26V/12A) QFN4X4-32 PB_FREE,GMT,USD 0.3500,USD 0.3500
932,06-0045331D1,SW REG. DC/DC TPS53316RGTR(2.9~6V/750KHz/1.1MHz/2MHz/5A) ?PB_FREE,TI,USD 0.9300,USD 0.9300
933,06-0045351D0,SW REG. DC/DC TPS53515RVER(1.5~18V/200kHz~1MHz/12A) QFN-28 PB_FREE,TI,USD 0.7800,USD 0.7800
934,06-0045362V0,SW CRL DC/DC TPS53626RSMR VQFN-32 PB_FREE,TI,USD 0.6880,USD 0.6880
935,06-0045380D0,SW CRL DC/DC 5V NCP5380MNR2G QFN32 PB_FREE,ON-SEMI,USD 0.6500,USD 0.6500
936,06-0045429T0,*SW REG. DC/DC TPS54292PWP(4.5~18V/1.2MHz/1.5A/2.5A) HTTSOP16 PB_FREE,TI,USD 0.5000,USD 0.5000
937,06-0045632A0,SW REG. DC/DC TPS563208DDCR(4.5~17V/580kHz/3A) SOT-23 PB_FREE,TI,USD 0.0630,USD 0.0740
938,06-0045632A1,SW REG. DC/DC TPS563209DDCR(4.5~17V/650kHz/3A) SOT-23 PB_FREE,TI,USD 0.0940,USD 0.0940
939,06-004565730,SW REG. DC/DC G5657(4.75~20V/380kHz/3A) SOP-8 PB_FREE,GMT,,
940,06-004567630,SW REG DC/DC G5676F11U(2.7~5.5V/1MHz/5A) SOP8 PB_FREE,GMT,,
941,06-0045719A0,SW REG DC/DC G5719BTB1U(2.5~6V/1MHz/3A) SOT23-6 PB_FREE,GMT,,USD 0.0780
942,06-0045719K0,SW REG DC/DC G5719CRC1U(2.5~6V/1MHz/3A) TDFN2X2-8 PB_FREE,GMT,,USD 0.0780
943,06-0045728A0,SW REG DC/DC G5728TO1U(2.5~6V/1MHz/1A) TSOT-23-5 PB_FREE,GMT,USD 0.0720,USD 0.0720
944,06-004579570,*SW REG DC/DC G5795F11U(4.5~24V/340kHz/2A/3A) SOP-8(FD) PB_FREE,GMT,USD 0.1800,USD 0.1800
945,06-004610330,*SW CRL DC/DC uP6103S8 SOP-8 PB_FREE,UPI,USD 0.1430,USD 0.1430
946,06-0046108V0,SW REG. DC/DC TPS61088(2.7~12V/200kHz~2.2MHz/10A) VQFN-20 PB_FREE,TI,,
947,06-0046120V0,*SW REG DC/DC uP6120AQJH VQFN4x4-28L PB_FREE,UPI,,
948,06-0046123D0,SW REG. DC/DC TPS61235(2.3~5.5V/1MHz/3A) QFN-9 PB_FREE,TI,,
949,06-004616130,*SW CRL DC/DC uP6161S14 SOP-14 PB_FREE,UPI,USD 0.2080,USD 0.2080
950,06-0046163D0,SW CRL DC/DC NCP6131S52MNR2G(INTEL VR12 Compatible) QFN-52 PB_FREE,ON-SEMI,USD 1.0000,USD 1.0000
951,06-004620811,SW REG. DC/DC TPS62080DSGR(2.3~6V/1.2A) SON-8 PB_FREE,TI,USD 0.5620,USD 0.5520
952,06-0046208DC,SW CRL DC/DC ISL6208CRZ 8 Ld-3X3-QFN PB_FREE,INTERSIL,,
953,06-0046220V0,*SW REG DC/DC uP6220AQAJ VQFN6x6-40L PB_FREE,UPI,,
954,06-0046228D0,SW CRL DC/DC ISL6228HRTZ 28 Ld-4X4-TQFN PB_FREE,INTERSIL,,
955,06-0046313D0,SW CRL DC/DC ISL6313BCRZ-T (INTEL VR11 Compatible) 36 Ld 6X6 TQFN PB_FREE,INTERSIL,,
956,06-0046314D0,SW CRL DC/DC ISL6314CRZ 32LD QFN PB_FREE,INTERSIL,USD 0.7200,USD 0.7200
957,06-004635300,SW CRL DC/DC ISL6353CRTZ (INTEL VR12 Compatible) 40 Ld-5X5-TQFN PB_FREE,RENESAS,USD 1.1390,USD 1.1390
958,06-0046364D0,SW CRL DC/DC ISL6364CRZ-T (INTEL VR12 Compatible) 48 Ld 6X6 QFN PB_FREE,INTERSIL,,
959,06-0046528V0,SW REG. DC/DC TPS65286RHD(4.5~28V/500kHz/6A) VQFN-28 PB_FREE,TI,,
960,06-0046575W0,SW CRL DC/DC RT6575BGQW WQFN-20L 3x3 PB_FREE,RICHTEK,USD 0.1950,USD 0.1400
961,06-004675000,SW REG DC/DC NB675GL-Z( 10A/5-24V/500kHz/±1.5A LDO&Buffed reference) QFN21 PB_FREE,MPS,USD 0.3800,USD 0.3800
962,06-0047103XF,*SW REG DC/DC ZT7103T(2.5~6V/1.4MHz/0.8A) TSOT-25 PB_FREE,ZILLTEK,,USD 0.0820
963,06-004710623,*SW REG DC/DC ZTP7106T(2.5~5.5V/1MHz/1A)  TSOT-23-5L PB_FREE,ZILLTEK,USD 0.0735,USD 0.0735
964,06-0047138D0,*SW CRL DC/DC APW7138QAI-TRL QFN4X4-16 PB_FREE & Halogen_FREE,ANPEC,USD 2.8000,USD 0.2300
965,06-004718430,*SW REG DC/DC ZT7184S(4.75~23V/340kHz/3A) SOP-8L PB_FREE,ZILLTEK,USD 0.2600,USD 0.2550
966,06-004780090,SW REG. DC/DC 3V NJM78L03UA SOT-89  PB_FREE,JRC,NTD 2.7500,NTD 2.7500
967,06-0048012K0,*SW REG. DC/DC ISL8012 10-Ld-3X3-DFN PB_FREE,INTERSIL,,
968,06-0048015W0,SW REG. DC/DC RT8015A-GQW(2.6~5.5V/2MHz/3A) WDFN-10L 3X3 PB_FREE,RICHTEK,,USD 0.2600
969,06-0048086J0,SW REG. DC/DC RT8086BGQUF(2.8~5.5V/12MHz/3.5A) UQFN-12L PB_FREE,RICHTEK,,USD 0.0760
970,06-004812690,SW REG. DC/DC S-812C60AUA-C30T2U SOT89-3 PB_FREE,Seiko,USD 0.1500,USD 0.1500
971,06-0048226D0,*SW REG. DC/DC 5.5V 88PG8226A1-NFE1C000(2.75~5.5V/1MHz/1.5A) QFN-20 PB_FREE,MARVELL,,
972,06-0048231W0,SW CRL DC/DC RT8231A WQFN-20L PB_FREE,RICHTEK,USD 0.1100,USD 0.1100
973,06-0048632D0,SW REG. DC/DC MPQ8632GLE-8-Z(2.5~18V/200K~1MHz/8A) QFN-16 PB_FREE,MPS,USD 0.4700,USD 0.4700
974,06-0048632D1,SW REG. DC/DC MPQ8632GLE-10(2.5~18V/200K~1MHz/10A) QFN-16 PB_FREE,MPS,USD 0.6050,USD 0.6050
975,06-0048632D5,SW REG. DC/DC MPQ8632GLE-6-Z(2.5~18V/1MHz/6A) QFN-3x4 PB_FREE,MPS,USD 0.4642,USD 0.4642
976,06-0048690D0,SW REG. DC/DC MP86905GR(4.5~16V/100kHz~2MHz/50A) QFN-23 PB_FREE,MPS,,
977,06-0048694J0,SW REG. DC/DC MP86945-AGVT(4.5~16V/100kHz~2MHz/60A) TQFN-25 PB_FREE,MPS,,
978,06-0048706J0,SW STAGE APW8706QBI-TRG TQFN 4x4-23 PB_FREE,ANPEC,USD 0.1300,USD 0.1300
979,06-0048707J0,SW STAGE APW8707BQBI-TRG 15A TQFN5x5-30 PB_FREE,ANPEC,USD 0.1800,USD 0.1800
980,06-0048770D0,SW REG. DC/DC MP8770GQ(3~17V/700kHz/8A) QFN PB_FREE,MPS,USD 0.3080,USD 0.2690
981,06-0048774D0,SW REG. DC/DC MP8774GQ(3~18V/700kHz/12A) QFN PB_FREE,MPS,USD 0.5500,USD 0.4200
982,06-0048796J0,SW REG. DC/DC MP8796GVT(3~16V/400~1000kHz/30A) TQFN25 PB_FREE,MPS,USD 1.3200,USD 1.3200
983,06-0048845N0,*SW REG. DC/DC 14V 88PH845-AX-NFB1C000(8~14V/500kHz/3A) FCQFN18 PB_FREE,MARVELL,,
984,06-0048858J0,SW CRL DC/DC APW8858QBI-TRG TQFN5x5-40 PB_FREE,ANPEC,USD 0.3800,USD 0.3800
985,06-0048859I0,SW CRL DC/DC RT8859MGQW LCC56 PB_FREE,RICHTEK,USD 1.0500,USD 1.0500
986,06-0048884D0,SW REG. DC/DC (LDO 3.3V) 88PG847BB1-NAM1C000-T(2.75~5.5V/1MHz/4.5A) QFN16 PB_FREE,MARVELL,USD 0.3000,USD 0.3000
987,06-0048889W0,SW CRL DC/DC APW8889HAI-TRG WLCSP2.72x3.12-42 PB_FREE,ANPEC,USD 0.6300,USD 0.6300
988,06-0049146H0,SW CRL DC/DC IDTP9146 HLA-100 PB_FREE,IDT,,
989,06-0049148F0,SW REG DC/DC P9148NRGI8(4.5~8.4V/2MHz/6A) DFN-12 PB_FREE,IDT,USD 0.5000,USD 0.5000
990,06-004916290,SW REG. DC/DC 3.3V 300mA RT9162-33PX SOT-89  PB_FREE,RICHTEK,,
991,06-0049180J0,SW CRL DC/DC P9180-M1NHGI8 GQFN-100 PB_FREE,IDT,USD 1.8000,USD 1.8000
992,06-004919970,SW REG. DC/DC RT9199GSP(1.6~5.5V/10kHz/2A)/PSP/ SOP-8 PB_FREE,RICHTEK,USD 0.0680,USD 0.0680
993,06-0049301Q0,*SW CRL DC/DC UP9301TSU8 PSOP-8L PB_FREE,UPI,,
994,06-0049581JC,SW CRL DC/DC ISL95818HRTZ(INTEL VR12.5 Compatible) 40 Ld-5X5-TQFN PB_FREE,INTERSIL,,
995,06-004958300,SW CRL DC/DC ISL95831HRTZ(INTEL IMVP-7/VR12 Compatible) 48 Ld-6X6-TQFN PB_FREE,INTERSIL,USD 0.9500,USD 0.9500
996,06-0049587D0,SW CRL DC/DC 0.5~5V ISL95870BHRZ-T  Ld-3X4-QFN PB_FREE,INTERSIL,USD 0.7500,USD 0.7500
997,06-004961970,SW CRL DC/DC RT9619/AGS/APS SOP-8 PB_FREE,RICHTEK,USD 0.1160,USD 0.1160
998,06-004988870,SW REG DC/DC FR9888SPGTR(4.5~23V/340kHz/3A) SOP-8P PB_FREE,fiti,NTD 3.6000,NTD 3.6000
